"Gloss","Live outcome","Cleaned execution note"
"ACCIDENT","success","Needed clearer curling of the index and middle fingers."
"ALL","success","More reliable when performed farther from the camera; right hand needed a clearer swoosh motion."
"ANIMAL","success","More reliable when the hands curved inward clearly."
"APPLE","success","Needed the right hand to be used clearly."
"BACKPACK","success","More reliable when signed from top to down on the shoulders to avoid overlap with `ANIMAL`."
"BATHROOM","success","More reliable when the wrist moved and the rest of the arm stayed still."
"BECAUSE","success","More reliable when the swipe stayed close to the forehead."
"BROTHER","success","Needed a forehead start followed by a clearer finger-gun transition."
"CANDY","success","Could still overlap with `CEREAL`, but the cheek-point position improved reliability."
"CAREFUL","success","More reliable when the top hand clearly lowered onto the lower hand."
"CHAIR","success","More reliable when signed from the side."
"CLASS","success","More reliable with a clear open-claw rotation."
"COMPUTER","success","Needed clearer cup-hand orientation and arm-relative circling."
"CONVINCE","success","Depended on full detection of the chopping hand."
"DAY","success","More reliable when signed more slowly."
"DEAF","success","Needed a clear mouth-to-ear path with the finger at roughly `90` degrees."
"DELICIOUS","success","More reliable when signed from the side."
"DISAPPEAR","success","Improved when signed more slowly."
"GOVERNMENT","success","More reliable when the wrist moved while the hand stayed otherwise stable."
"LIST","success","Improved when the body was tilted slightly left."
"MAN","success","Required the elbow to stay visible."
"PAINT","success","Needed the left open palm tilted toward the camera."
"SCHOOL","success","Needed a clearer two-hand clapping motion instead of a static base hand."
"SNOW","success","More reliable when started at head level with flatter palms."
"WIFE","success","Needed shoulder-level start and a stationary left hand before motion."
"YOUR","success","More reliable when the palm moved toward the camera."
